Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
|2010|Yttrium silicate in lunar troctolitic anorthosite 76335 (abs#2627)|Edmunson, J., Cohen, B. A., Zeigler, R. A., and Jolliff, B. L.|Proceedings of the 41st Lunar and Planetary Science Conference, ||||||76335|
2010P&SS...58...79F|2010|The mercury imaging X-ray spectrometer (MIXS) on bepicolombo|Fraser, G. W., Carpenter, J. D., Rothery, D. A., Pearson, J. F., Martindale, A., Huovelin, J., Treis, J., Anand, M., Anttila, M., Ashcroft, M., Benkoff, J., Bland, P., Bowyer, A., Bradley, A., Bridges, J., Brown, C., Bulloch, C., Bunce, E. J., Christensen, U., Evans, M., Fairbend, R., Feasey, M., Giannini, F., Hermann, S., Hesse, M., Hilchenbach, M., Jorden, T., Joy, K., Kaipiainen, M., Kitchingman, I., Lechner, P., Lutz, G., Malkki, A., Muinonen, K., N√§r√§nen, J., Portin, P., Prydderch, M., Juan, J. San, Sclater, E., Schyns, E., Stevenson, T. J., Str√ºder, L., Syrjasuo, M., Talboys, D., Thomas, P., Whitford, C., Whitehead, S.|Planetary and Space Science|58|1-2|79||http://dx.doi.org/10.1016/j.pss.2009.05.004|70270|
2010ACP....10.1911A|2010|Tropospheric photooxidation of CF<SUB>3</SUB>CH<SUB>2</SUB>CHO and CF<SUB>3</SUB>(CH<SUB>2</SUB>)<SUB>2</SUB>CHO initiated by Cl atoms and OH radicals|Anti√±olo, M., Jim√©nez, E., Notario, A., Mart√≠nez, E., Albaladejo, J.|Atmospheric Chemistry & Physics|10|4|1911|||71010|
2010LPI....41.2168L|2010|Radiative Transfer Modeling of Lunar Soil Reflectance for Accommodating the Effects of Roughness and Temperature|Li, S., Li, L.|Lunar and Planetary Science Conference|41|1533|2168|||71061|
2010Icar..208..548G|2010|A new look at photometry of the Moon|Goguen, Jay D., Stone, Thomas C., Kieffer, Hugh H., Buratti, Bonnie J.|Icarus|208|2|548||http://dx.doi.org/10.1016/j.icarus.2010.03.025|72141|
2010E&PSL.289..595D|2010|Osmium isotope and highly siderophile element systematics of the lunar crust|Day, James M. D., Walker, Richard J., James, Odette B., Puchtel, Igor S.|Earth and Planetary Science Letters|289|3-4|595||http://dx.doi.org/10.1016/j.epsl.2009.12.001|76535; 77215; 78235|
2010AGUFMGP43B1049T|2010|Fidelity of Mare Basalts as Magnetic Recorders and Implications for Lunar Paleomagnetism|Tikoo, S. M., Weiss, B. P., Buz, J., Silva, M. G., Grove, T. L., Gattacceca, J.|AGU Fall Meeting Abstracts|||GP43B|||76535|
2010AGUFMGP42A..04F|2010|Lunar Paleomagnetism: The Case for an Ancient Lunar Dynamo. (Invited)|Fuller, M., Weiss, B. P., Gattacceca, J.|AGU Fall Meeting Abstracts|||GP42A|||76535|
2010AGUFMDI33B..08S|2010|A lunar core dynamo at 3.7 Ga?|Shea, E. K., Weiss, B. P., Tikoo, S. M., Gattacceca, J., Shuster, D. L., Grove, T. L., Fuller, M.|AGU Fall Meeting Abstracts|||DI33B|||76535|
|2009|Distribution of Ti in glass and mineral components of lunar soils 10084 and 71501: Grain size fraction 100 to 210 micron (abs#2346)|Johnson, D., Jolliff, B. L., Ziegler, R. A., and Carpenter, P. K.|Proceedings of the 40th Lunar and Planetary Science Conference, ||||||71501|
|2009|Apollo 17 regolith, 71501,262: A record of impact events and mare volcanism in lunar glasses|Zellner, N. E. B., Delano, J. W., Swindle, T. D., Barra, F., Olsen, E., and Whittet, D. C. B.|Meteoritics & Planetary Science|44 (6)||839-851||http://dx.doi.org/10.1111/j.1945-5100.2009.tb00772.x|71501|
|2009|Early lunar magnetism|Garrick-Bethell, I., Weiss, B. P., Shuster, D. L., and Buz, J.|Science|323 (5912)||356-359||http://dx.doi.org/10.1126/science.1166804|72215|
|2009|Thermal history recorded by Apollo 17 impact melt breccias 73217|Grange, M. L., Nemchin, A. A., Pidgeon, R. T., Timms, N., Muhling, J. R., and Kennedy, A. K.|Geochimica et Cosmochimica Acta|73||3093-3107 |||73217|
|2009|A combined SmñNd, RbñSr, and UñPb isotopic study of Mg-suite norite 78238: Further evidence for early differentiation of the Moon|Edmunson, J., Borg, L. E., Nyquist, L. E., and Asmerom, Y.|Geochimica et Cosmochimica Acta|73 (2)||514-527||http://dx.doi.org/10.1016/j.gca.2008.10.021|78238|
2009GeCoA..73.5884H|2009|Isotopic and elemental abundances of copper and zinc in lunar samples, Zagami, Pele‚Äôs hairs, and a terrestrial basalt|Herzog, G. F., Moynier, F., Albar√®de, F., Berezhnoy, A. A.|Geochimica et Cosmochimica Acta|73|19|5884||http://dx.doi.org/10.1016/j.gca.2009.05.067|70181; 70215; 71055; 74001; 74220; 74255; 75055; 75075; 79221|
2009LPI....40.1805D|2009|Apollo 17 High-Titanium Basalt Petrogenesis Revealed by Crystal Size Distributions and Mineral Geochemistry|Donohue, P., Neal, C. R.|Lunar and Planetary Science Conference|40||1805|||70275; 74255; 74275|
2009GeCoA..73.3038H|2009|Two oxygen isotopic components with extra-selenial origins observed among lunar metallic grains - In search for the solar wind component|Hashizume, Ko, Chaussidon, Marc|Geochimica et Cosmochimica Acta|73|10|3038||http://dx.doi.org/10.1016/j.gca.2009.02.024|71501; 79035|
2009JGRA..114.3211K|2009|Multipoint observations of ions in the 30-160 keV energy range upstream of the Earth's bow shock|Kronberg, E. A., Kis, A., Klecker, B., Daly, P. W., Lucek, E. A.|Journal of Geophysical Research (Space Physics)|114|A3|A03211||http://dx.doi.org/10.1029/2008JA013754|71597|
2009GeCoA..73.3093G|2009|Thermal history recorded by the Apollo 17 impact melt breccia 73217|Grange, M. L., Nemchin, A. A., Pidgeon, R. T., Timms, N., Muhling, J. R., Kennedy, A. K.|Geochimica et Cosmochimica Acta|73|10|3093||http://dx.doi.org/10.1016/j.gca.2009.02.032|73217|
2009AGUSM.V74B..04N|2009|Lunar Magmatic Volatiles|Nekvasil, H., McCubbin, F. M., Lindsley, D. H.|AGU Spring Meeting Abstracts|||V74B|||74246; 79195|
